flowtime, d1, d2, d3
13.4, 1.000000000000012 - 1.1926223897340549e-18im, 1.0000000000000093 - 1.214306433183765e-17im, 0.9999999999999744 - 2.2768245622195593e-18im
13.5, 1.000000000000015 - 9.75781955236954e-19im, 1.00000000000001 - 1.2576745200831851e-17im, 0.9999999999999738 - 2.3852447794681098e-18im
13.6, 1.0000000000000169 - 5.421010862427522e-19im, 1.0000000000000075 - 1.214306433183765e-17im, 0.9999999999999714 - 2.3852447794681098e-18im
13.7, 1.0000000000000167 - 4.336808689942018e-19im, 1.0000000000000087 - 1.214306433183765e-17im, 0.9999999999999759 - 2.168404344971009e-18im
13.8, 1.0000000000000164 - 7.589415207398531e-19im, 1.0000000000000062 - 1.3010426069826053e-17im, 0.9999999999999787 - 2.3852447794681098e-18im
13.9, 1.0000000000000133 - 6.505213034913027e-19im, 1.000000000000003 - 1.3444106938820255e-17im, 0.9999999999999803 - 2.4936649967166602e-18im
14.0, 1.0000000000000109 - 3.2526065174565133e-19im, 1.0000000000000042 - 1.2576745200831851e-17im, 0.9999999999999797 - 2.927345865710862e-18im
14.1, 1.0000000000000069 - 1.0842021724855044e-18im, 1.0000000000000062 - 1.2576745200831851e-17im, 0.9999999999999791 - 2.6020852139652106e-18im
14.2, 1.000000000000003 - 1.1926223897340549e-18im, 1.0000000000000098 - 1.1275702593849246e-17im, 0.9999999999999758 - 2.710505431213761e-18im
14.3, 1.0000000000000013 - 1.5178830414797062e-18im, 1.000000000000014 - 1.214306433183765e-17im, 0.9999999999999714 - 3.0357660829594124e-18im
14.4, 0.9999999999999991 - 1.951563910473908e-18im, 1.0000000000000149 - 1.1275702593849246e-17im, 0.9999999999999671 - 2.4936649967166602e-18im
14.5, 0.9999999999999977 - 2.168404344971009e-18im, 1.000000000000018 - 1.1275702593849246e-17im, 0.9999999999999639 - 2.3852447794681098e-18im
14.6, 0.9999999999999954 - 1.8431436932253575e-18im, 1.000000000000019 - 1.0408340855860843e-17im, 0.9999999999999566 - 2.4936649967166602e-18im
14.7, 0.9999999999999918 - 1.734723475976807e-18im, 1.0000000000000235 - 1.1275702593849246e-17im, 0.9999999999999538 - 2.8189256484623115e-18im
14.8, 0.9999999999999879 - 1.5178830414797062e-18im, 1.0000000000000242 - 1.2576745200831851e-17im, 0.9999999999999523 - 3.144186300207963e-18im
14.9, 0.9999999999999865 - 9.75781955236954e-19im, 1.0000000000000238 - 1.3010426069826053e-17im, 0.9999999999999494 - 3.2526065174565133e-18im
15.0, 0.9999999999999847 - 9.75781955236954e-19im, 1.0000000000000207 - 1.3010426069826053e-17im, 0.9999999999999499 - 3.3610267347050637e-18im
15.1, 0.9999999999999816 - 1.5178830414797062e-18im, 1.0000000000000209 - 1.214306433183765e-17im, 0.9999999999999515 - 3.577867169202165e-18im
15.2, 0.9999999999999774 - 1.1926223897340549e-18im, 1.00000000000002 - 1.3010426069826053e-17im, 0.9999999999999535 - 3.903127820947816e-18im
15.3, 0.9999999999999767 - 1.4094628242311558e-18im, 1.0000000000000215 - 1.3444106938820255e-17im, 0.9999999999999537 - 3.469446951953614e-18im
15.4, 0.9999999999999774 - 9.75781955236954e-19im, 1.0000000000000187 - 1.3444106938820255e-17im, 0.9999999999999514 - 3.0357660829594124e-18im
15.5, 0.9999999999999771 - 1.1926223897340549e-18im, 1.000000000000019 - 1.3010426069826053e-17im, 0.9999999999999495 - 2.4936649967166602e-18im
15.6, 0.9999999999999771 - 1.4094628242311558e-18im, 1.0000000000000184 - 1.3444106938820255e-17im, 0.999999999999946 - 1.951563910473908e-18im
15.7, 0.9999999999999791 - 1.6263032587282567e-18im, 1.0000000000000167 - 1.3010426069826053e-17im, 0.9999999999999417 - 2.0599841277224584e-18im
15.8, 0.9999999999999777 - 1.1926223897340549e-18im, 1.0000000000000182 - 1.2576745200831851e-17im, 0.9999999999999393 - 1.951563910473908e-18im
15.9, 0.9999999999999746 - 1.1926223897340549e-18im, 1.0000000000000218 - 1.3010426069826053e-17im, 0.9999999999999345 - 1.4094628242311558e-18im
16.0, 0.9999999999999715 - 9.75781955236954e-19im, 1.000000000000022 - 1.2576745200831851e-17im, 0.9999999999999336 - 7.589415207398531e-19im
16.1, 0.9999999999999695 - 1.1926223897340549e-18im, 1.0000000000000218 - 1.3010426069826053e-17im, 0.9999999999999283 - 2.168404344971009e-19im
16.2, 0.9999999999999672 - 1.0842021724855044e-18im, 1.000000000000024 - 1.1275702593849246e-17im, 0.9999999999999254 - 9.75781955236954e-19im
16.3, 0.9999999999999674 - 9.75781955236954e-19im, 1.0000000000000224 - 1.214306433183765e-17im, 0.9999999999999206 - 1.4094628242311558e-18im
16.4, 0.9999999999999695 - 9.75781955236954e-19im, 1.0000000000000262 - 1.3444106938820255e-17im, 0.9999999999999223 - 1.6263032587282567e-18im
16.5, 0.9999999999999671 - 9.75781955236954e-19im, 1.0000000000000284 - 1.474514954580286e-17im, 0.9999999999999246 - 1.734723475976807e-18im
16.6, 0.9999999999999666 - 6.505213034913027e-19im, 1.0000000000000329 - 1.1709383462843448e-17im, 0.9999999999999244 - 2.2768245622195593e-18im
16.7, 0.9999999999999637 - 1.0842021724855044e-19im, 1.0000000000000326 - 9.974659986866641e-18im, 0.999999999999928 - 2.8189256484623115e-18im
16.8, 0.9999999999999648 - 3.2526065174565133e-19im, 1.0000000000000298 - 9.974659986866641e-18im, 0.9999999999999266 - 3.0357660829594124e-18im
16.9, 0.9999999999999646 - 7.589415207398531e-19im, 1.0000000000000298 - 1.0842021724855044e-17im, 0.9999999999999277 - 3.7947076036992655e-18im
17.0, 0.9999999999999662 - 3.2526065174565133e-19im, 1.0000000000000289 - 9.540979117872439e-18im, 0.9999999999999276 - 4.662069341687669e-18im
17.1, 0.9999999999999688 - 3.2526065174565133e-19im, 1.0000000000000275 - 8.673617379884035e-18im, 0.9999999999999262 - 4.7704895589362195e-18im
17.2, 0.9999999999999686 - 2.168404344971009e-19im, 1.000000000000027 - 7.806255641895632e-18im, 0.9999999999999246 - 4.228388472693467e-18im
17.3, 0.9999999999999721 + 2.168404344971009e-19im, 1.000000000000031 - 8.239936510889834e-18im, 0.9999999999999206 - 4.445228907190568e-18im
17.4, 0.9999999999999751 + 1.0842021724855044e-19im, 1.0000000000000322 - 7.806255641895632e-18im, 0.9999999999999196 - 4.7704895589362195e-18im
17.5, 0.9999999999999765 + 1.0842021724855044e-19im, 1.0000000000000349 - 6.938893903907228e-18im, 0.9999999999999174 - 4.87890977618477e-18im
17.6, 0.9999999999999776 + 5.421010862427522e-19im, 1.000000000000035 - 6.071532165918825e-18im, 0.9999999999999134 - 5.5294310796760726e-18im
17.7, 0.9999999999999792 + 9.75781955236954e-19im, 1.000000000000034 - 1.0408340855860843e-17im, 0.9999999999999098 - 5.421010862427522e-18im
17.8, 0.9999999999999764 + 1.5178830414797062e-18im, 1.0000000000000349 - 1.1709383462843448e-17im, 0.9999999999999061 - 5.9631119486702744e-18im
17.9, 0.9999999999999745 + 1.4094628242311558e-18im, 1.0000000000000366 - 1.0408340855860843e-17im, 0.9999999999999017 - 7.15573433840433e-18im
18.0, 0.9999999999999712 + 1.5178830414797062e-18im, 1.000000000000038 - 1.214306433183765e-17im, 0.9999999999999037 - 6.938893903907228e-18im
18.1, 0.9999999999999741 + 1.5178830414797062e-18im, 1.0000000000000402 - 1.2576745200831851e-17im, 0.9999999999999064 - 5.5294310796760726e-18im
